Line,,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
9,"        Net interest and miscellaneous payments",122.0,119.1,115.5,107.4,97.7,87.5,78.1,70.2,64.5,59.5,57.2,56.7,57.8,57.8,56.6,54.3,50.9,48.8,48.1,48.4,50.5,51.3,51.2,49.1,46.5,45.2,46.0,47.9,54.4,57.7,64.8,74.8,98.6,97.2,95.6,92.5,88.5,89.7,96.1,107.1,123.2,134.2,141.8,144.1,141.8,135.0,124.6,108.8,92.0,79.6,72.6,69.8,71.8,68.5,56.6,38.3,12.0,-4.0,-11.1,-7.2,5.2,17.9,30.9,43.1,56.9,68.6,76.1,83.7,90.3,101.3,119.6,142.4,169.8,185.2,183.8,167.3,141.4,121.6,106.6,99.7,97.2,95.3,92.0,88.4,83.6,86.3,96.9,113.7,138.2,153.2,157.9,153.1,136.8,127.1,123.1,126.7,135.2,147.1,162.2,180.0,201.7,217.1,226.2,229.0,225.5,226.5,232.1,242.2,251.5,262.2,274.2,287.5,302.1,308.0,305.1,293.6,271.5,260.0,258.9,268.2,282.6,290.6,290.5,292.3
10,"        Business current transfer payments (net)",34.5,33.9,33.6,34.0,34.3,33.4,33.3,33.6,33.5,33.1,33.2,36.1,33.6,31.8,30.9,30.7,31.3,31.9,32.5,33.2,34.4,35.7,37.7,39.9,43.9,45.5,44.5,41.1,34.6,32.0,33.1,37.8,46.9,50.3,52.7,61.4,52.4,52.9,53.3,56.8,67.5,71.3,73.9,76.9,85.0,86.1,85.8,82.4,70.5,63.3,57.9,54.7,53.9,50.0,49.1,48.2,54.5,53.4,50.9,59.6,51.5,61.2,55.6,53.6,42.1,42.8,50.0,51.2,68.3,66.5,69.9,68.8,94.3,89.9,89.2,105.8,97.5,111.4,88.0,89.3,98.2,95.3,101.3,99.8,118.0,106.2,106.1,97.0,74.4,57.5,41.4,39.3,52.5,59.2,62.3,86.6,73.7,79.6,139.4,95.3,89.0,99.5,102.9,193.5,135.2,141.9,123.4,147.7,121.3,118.6,89.9,116.1,128.6,120.3,141.7,118.2,143.0,138.2,142.9,120.8,116.0,117.7,133.1,135.1
11,"        Corporate profits with IVA and CCAdj",344.4,361.4,337.8,329.4,367.0,373.1,376.3,372.6,400.9,407.8,399.3,424.7,406.5,444.7,452.4,511.6,517.5,539.2,571.9,595.8,588.9,605.8,649.9,650.3,683.8,700.2,706.0,716.3,753.3,767.9,808.1,799.9,728.6,729.6,749.1,722.4,761.9,754.1,737.7,726.5,714.8,699.1,677.6,631.5,622.6,638.0,627.7,585.2,711.7,756.0,778.5,848.2,862.8,891.4,941.8,976.6,1064.6,1113.5,1158.9,1164.7,1257.9,1276.9,1287.2,1395.3,1445.4,1453.1,1505.8,1421.3,1316.3,1347.7,1229.2,1138.9,1053.8,1027.0,1008.2,732.8,953.5,1003.3,1123.2,1227.5,1295.5,1300.0,1475.5,1483.8,1323.4,1443.9,1447.1,1585.0,1660.0,1662.6,1644.6,1642.3,1672.8,1665.6,1676.1,1714.8,1650.3,1832.1,1864.9,1884.5,1847.9,1831.7,1779.0,1653.0,1757.8,1708.7,1731.0,1700.1,1721.1,1723.6,1718.0,1742.7,1772.4,1846.0,1868.8,1891.1,1875.4,1906.5,1968.1,2003.2,1743.5,1673.1,2331.7,2116.7
12,"            Taxes on corporate income",116.8,121.7,125.1,123.7,120.2,116.0,116.9,118.2,130.4,132.4,127.8,137.1,141.7,154.1,146.4,178.0,155.9,164.1,180.2,190.4,194.7,191.0,198.0,194.0,201.7,213.4,213.7,216.8,218.2,222.5,234.2,224.2,222.1,218.9,225.5,220.7,226.5,223.6,227.6,231.9,243.3,241.7,222.8,226.0,188.6,182.7,162.8,146.5,147.4,153.7,161.8,179.9,199.9,196.5,217.7,241.0,251.4,271.6,292.7,298.3,375.7,364.0,370.2,409.0,421.4,432.6,451.3,415.3,418.6,413.3,376.5,358.7,298.0,285.2,270.7,169.8,172.0,195.3,206.4,242.0,256.3,262.2,279.2,291.3,285.1,285.1,256.4,296.4,319.9,334.2,341.7,342.5,360.5,357.2,364.3,367.6,403.6,425.0,397.5,401.4,413.7,419.4,391.4,360.0,374.6,378.4,386.5,364.6,278.9,291.1,309.7,309.0,282.4,302.0,299.4,305.9,283.1,295.9,294.2,315.6,269.3,280.9,351.9,342.1
13,"            Profits after tax with IVA and CCAdj",227.6,239.8,212.6,205.7,246.9,257.1,259.4,254.4,270.5,275.5,271.5,287.7,264.8,290.6,306.0,333.6,361.6,375.1,391.7,405.4,394.2,414.8,451.9,456.3,482.2,486.9,492.3,499.5,535.1,545.4,573.9,575.8,506.5,510.7,523.6,501.7,535.4,530.5,510.1,494.6,471.5,457.4,454.8,405.5,434.0,455.3,464.9,438.7,564.3,602.3,616.7,668.4,662.9,695.0,724.2,735.5,813.2,841.9,866.2,866.3,882.2,912.9,916.9,986.3,1024.0,1020.4,1054.5,1006.0,897.7,934.4,852.6,780.2,755.8,741.7,737.5,562.9,781.5,808.0,916.8,985.5,1039.2,1037.7,1196.3,1192.5,1038.3,1158.8,1190.8,1288.6,1340.1,1328.4,1302.9,1299.8,1312.2,1308.4,1311.8,1347.1,1246.7,1407.1,1467.4,1483.0,1434.2,1412.3,1387.6,1293.1,1383.3,1330.3,1344.5,1335.4,1442.2,1432.5,1408.3,1433.7,1489.9,1544.1,1569.4,1585.2,1592.3,1610.7,1673.8,1687.6,1474.2,1392.2,1979.9,1774.6
14,"                Net dividends",168.8,165.3,169.0,171.3,172.2,178.9,178.0,182.1,171.8,176.5,177.3,188.2,195.9,196.4,200.4,211.8,210.5,221.7,218.9,230.4,237.0,240.7,259.8,265.6,269.6,275.3,289.3,299.6,300.7,304.2,314.3,331.6,339.1,347.6,342.7,348.0,333.0,335.3,317.6,348.8,371.2,390.7,401.5,371.3,362.9,345.4,372.6,367.4,375.6,386.3,363.5,392.4,372.1,447.4,418.9,453.4,488.9,485.5,481.5,614.2,454.7,403.0,245.3,170.6,574.1,584.8,646.5,746.4,662.0,668.0,697.3,684.1,668.9,685.2,654.5,634.8,603.2,544.1,450.7,468.4,484.8,478.1,537.7,557.6,601.6,620.9,646.0,663.8,712.5,704.9,710.4,933.8,714.5,940.2,866.8,914.1,883.0,899.8,884.5,925.7,969.9,923.9,966.0,1003.8,1003.5,970.9,901.0,939.5,1040.9,1080.8,980.8,1071.4,14.1,389.0,801.7,471.0,871.1,886.7,910.9,1082.4,971.2,1174.7,1255.5,1268.2
15,"                Undistributed profits with IVA and CCAdj",58.8,74.5,43.6,34.4,74.7,78.2,81.4,72.3,98.6,98.9,94.3,99.4,68.9,94.2,105.6,121.8,151.1,153.4,172.8,175.0,157.2,174.1,192.1,190.7,212.6,211.5,203.0,199.9,234.4,241.2,259.5,244.2,167.4,163.0,180.9,153.7,202.4,195.3,192.6,145.7,100.3,66.7,53.3,34.2,71.1,109.9,92.3,71.4,188.7,216.0,253.2,276.0,290.8,247.6,305.3,282.1,324.3,356.4,384.7,252.1,427.5,509.9,671.6,815.7,449.9,435.7,408.0,259.6,235.6,266.4,155.4,96.1,87.0,56.5,83.1,-71.9,178.3,263.9,466.1,517.1,554.4,559.6,658.6,634.9,436.7,537.8,544.7,624.8,627.5,623.4,592.5,366.0,597.7,368.2,445.0,433.0,363.7,507.3,582.9,557.3,464.3,488.4,421.6,289.3,379.8,359.4,443.5,395.9,401.3,351.7,427.5,362.3,1475.8,1155.1,767.7,1114.2,721.1,724.0,762.9,605.2,502.9,217.5,724.4,506.3
16,"        Gross value added of financial corporate business1",306.6,310.0,308.7,301.3,319.7,321.5,325.0,327.6,361.1,363.9,365.1,373.4,367.5,380.0,384.6,403.5,384.8,385.7,401.6,402.0,414.8,430.1,443.7,442.3,464.1,476.0,479.7,475.5,507.0,520.7,539.7,567.7,588.0,596.2,603.9,609.0,617.6,615.1,639.9,663.0,699.4,699.0,714.0,709.6,747.4,738.4,721.0,722.9,745.2,758.5,754.1,762.2,763.5,779.7,802.6,819.1,789.1,808.8,837.1,870.5,870.9,862.7,945.3,960.8,983.9,1021.3,1006.7,1019.1,952.8,964.3,958.8,891.7,899.6,882.0,743.0,599.8,826.7,923.3,959.0,944.2,889.2,895.1,976.8,1038.0,945.5,929.3,939.7,1033.3,1051.1,1046.5,1072.0,1082.6,1001.3,1014.5,1039.2,1101.7,1145.2,1208.0,1212.1,1214.0,1264.9,1315.4,1236.7,1251.7,1289.3,1347.2,1353.7,1361.7,1324.1,1338.8,1370.8,1411.4,1441.1,1452.2,1483.2,1457.8,1531.5,1534.9,1513.0,1551.6,1532.0,1552.7,1621.4,1680.4
17,"        Gross value added of nonfinancial corporate business1",3110.4,3169.1,3180.0,3183.3,3190.7,3219.0,3245.5,3269.7,3316.4,3360.2,3380.7,3448.7,3432.3,3513.0,3548.5,3646.0,3697.1,3791.4,3848.9,3929.0,3957.6,3999.0,4080.7,4128.8,4190.6,4264.2,4326.6,4404.1,4485.0,4557.1,4661.1,4734.3,4762.0,4835.6,4926.4,4976.7,5082.1,5134.2,5176.7,5280.2,5444.0,5487.8,5558.9,5552.5,5502.6,5501.7,5457.2,5419.0,5464.0,5523.3,5556.6,5630.4,5611.6,5679.6,5778.9,5864.9,5968.3,6089.7,6213.9,6262.6,6402.9,6536.3,6582.8,6780.0,6914.7,6951.2,7092.0,7128.5,7219.3,7285.7,7221.8,7302.6,7293.4,7302.3,7442.8,7272.3,6892.1,6839.5,6856.6,7027.9,7113.2,7231.5,7399.2,7404.9,7475.6,7651.8,7738.2,7778.7,8012.1,8108.7,8078.2,8244.8,8346.3,8396.5,8415.7,8512.5,8564.1,8769.3,8975.3,9098.1,9125.8,9174.3,9288.6,9300.7,9308.5,9264.8,9356.6,9455.7,9611.7,9715.4,9789.9,9968.7,10122.0,10278.2,10426.2,10524.8,10641.3,10727.7,10870.4,10959.8,10807.0,9567.0,10548.1,11072.5
18,Consumption of fixed capital,394.0,399.7,405.5,411.3,417.1,422.0,426.0,429.0,431.1,434.0,437.7,442.2,447.5,453.0,458.6,464.3,470.3,477.5,485.9,495.7,506.7,516.8,525.9,534.0,541.1,549.2,558.2,568.2,579.1,589.6,599.9,609.9,619.5,629.2,638.9,648.7,658.6,670.7,685.1,701.8,720.8,735.1,744.6,749.3,766.1,779.6,786.6,793.5,800.1,802.6,807.0,810.3,811.5,815.3,820.0,825.9,835.3,845.2,855.3,872.0,888.6,904.9,920.0,941.0,958.1,975.4,992.6,1011.7,1028.7,1041.8,1053.5,1065.0,1083.4,1100.3,1120.2,1131.1,1126.1,1113.4,1107.5,1111.4,1113.6,1119.9,1124.4,1136.1,1151.1,1167.1,1181.3,1194.4,1214.0,1229.4,1243.3,1252.6,1260.9,1274.8,1288.4,1307.1,1326.9,1343.6,1362.1,1378.1,1393.7,1405.0,1415.2,1419.2,1421.2,1435.7,1445.0,1462.2,1480.1,1499.2,1520.2,1538.2,1553.9,1573.4,1591.8,1609.4,1636.0,1659.4,1675.5,1687.9,1709.0,1722.9,1730.9,1749.7
