INDNO,DlyCalDt,DlyTotRet,DlyTotInd,DlyIncRet,DlyUsdCnt,DlyTotVal
1000500,1990-05-02,0.006828,596.09,0.000050,500,2199204811
1000500,1990-05-03,0.003381,598.11,0.000306,500,2205968464
1000500,1990-05-04,0.008809,603.38,0.000523,500,2224247260
1000500,1990-05-07,0.006472,607.28,0.000303,500,2237968796
1000500,1990-05-08,0.005085,610.37,0.000370,500,2248519820
1000500,1990-05-09,0.002095,611.65,0.000218,500,2252740345
1000500,1990-05-10,0.003764,613.95,0.000148,500,2260886528
1000500,1990-05-11,0.023260,628.23,0.000240,500,2312931927
1000500,1990-05-14,0.008448,633.54,0.000490,500,2331339554
1000500,1990-05-15,-0.000853,633.00,0.000052,500,2329231096
1000500,1990-05-16,-0.000940,632.40,0.000213,500,2326546376
1000500,1990-05-17,0.001527,633.37,0.000048,500,2329987364
1000500,1990-05-18,0.000419,633.63,0.000005,500,2330952979
1000500,1990-05-21,0.009805,639.85,0.000228,500,2353275538
1000500,1990-05-22,0.001561,640.84,0.000220,500,2356430327
1000500,1990-05-23,0.002261,642.29,0.000041,500,2361660302
1000500,1990-05-24,-0.001675,641.22,0.000134,500,2357389772
1000500,1990-05-25,-0.010589,634.43,0.000456,500,2330330658
1000500,1990-05-29,0.016972,645.20,0.000244,500,2369312244
1000500,1990-05-30,0.001021,645.85,0.000033,500,2371652430
1000500,1990-05-31,0.001383,646.75,0.000192,500,2374490581
1000500,1990-06-01,0.005151,650.08,0.000089,500,2386509114
1000500,1990-06-04,0.012349,658.11,0.000190,500,2415528667
1000500,1990-06-05,-0.002138,656.70,0.000142,500,2410021333
1000500,1990-06-06,-0.004335,653.85,0.000039,500,2399478415
1000500,1990-06-07,-0.004876,650.66,0.000044,500,2387673710
1000500,1990-06-08,-0.012226,642.71,0.000020,500,2356839971
1000500,1990-06-11,0.008427,648.13,0.000434,500,2375677448
1000500,1990-06-12,0.012956,656.52,0.000045,500,2406348705
1000500,1990-06-13,-0.003644,654.13,0.000035,500,2397497911
1000500,1990-06-14,-0.005459,650.56,0.000033,500,2384331232
1000500,1990-06-15,-0.000325,650.35,0.000010,500,2383537803
1000500,1990-06-18,-0.015894,640.01,0.000065,500,2345499314
1000500,1990-06-19,0.004444,642.86,0.000075,500,2355747673
1000500,1990-06-20,0.001780,644.00,0.000020,500,2359892999
1000500,1990-06-21,0.003657,646.36,0.000001,500,2368520154
1000500,1990-06-22,-0.013607,637.56,0.000004,500,2336282952
1000500,1990-06-25,-0.008535,632.12,0.000590,500,2314963356
1000500,1990-06-26,-0.000973,631.50,0.000040,500,2312618412
1000500,1990-06-27,0.008698,637.00,0.000021,500,2332685578
